Date,Week,Matchup,Pick,Confidence,Edge,Rating,Note,Conf,Wager,Book
2025-11-28 07:48,Week 13,LA @ CAR,LA,62.8%,+44.6%,DIAMOND,Diff: -11.0 vs 0.0,,,
2025-11-28 07:49,Week 13,SF @ CLE,SF,77.3%,+43.9%,DIAMOND,Diff: 0.0 vs 11.0,,,
2025-11-28 07:49,Week 13,MIN @ SEA,MIN,61.9%,-27.6%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:50,Week 13,LV @ LAC,LV,61.9%,-22.7%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:54,Week 13,CHI @ PHI,CHI,61.9%,-15.9%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:54,Week 13,BUF @ PIT,BUF,61.9%,+21.9%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-28 07:55,Week 13,DEN @ WAS,DEN,61.9%,+31.1%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-28 07:55,Week 13,NYG @ NE,NE,63.1%,-16.9%,SILVER,Diff: 6.0 vs -7.0,,,
2025-11-28 07:57,Week 13,DAL @ DET,DET,55.0%,-11.6%,PASS,Diff: -7.0 vs 0.0,,,
2025-11-28 07:58,Week 13,CHI @ PHI,CHI,61.9%,-15.9%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-29 11:06,Week 1,SF @ KC,SF,77.3%,+24.9%,DIAMOND,Diff: 0.0 vs 11.0,,,
2025-11-29 11:46,Week 1,SF @ KC,SF,77.3%,+24.9%,DIAMOND,Diff: 0.0 vs 11.0,,,
2025-11-29 12:01,Week 1,SF @ KC,SF,77.3%,+24.9%,DIAMOND,Diff: 0.0 vs 11.0,,,
2025-11-29 12:06,Week 1,SF @ KC,SF,77.3%,+24.9%,DIAMOND,Diff: 0.0 vs 11.0,,,
2025-11-29 12:06,Week 13,SF @ KC,SF,77.3%,+24.9%,DIAMOND,Diff: 0.0 vs 11.0,,,
2025-11-29 12:06,Week 1,SF @ KC,SF,52.5%,+0.2%,PASS,Diff: -3.0 vs 11.0,,,
2025-11-29 20:59,Week 1,SF @ KC,SF,52.5%,+0.2%,PASS,Diff: -3.0 vs 11.0,,,
2025-11-29 21:03,Week 13,NO @ MIA,NO,59.4%,-12.7%,PASS,Diff: 0.0 vs 0.0,,,
2025-11-30 08:28,Week 13,NO @ MIA,NO,,+7.1%,🥇 GOLD,Kelly 3.7%,59.4%,37.02107567066509,Unknown
2025-11-30 09:00,Week 13,NO @ MIA,NO,,+7.1%,🥇 GOLD,Kelly 3.7%,59.4%,37.02107567066509,Unknown
